currency,value,rated_at
USD,1.34,2012-02-29
UYU,25.91,2012-02-29
VEF,5.73,2012-02-29
ARS,5.81,2012-03-01
BRL,2.31,2012-03-01
CLP,638.28,2012-03-01
COP,2357.38,2012-03-01
CRC,677.74,2012-03-01
DOP,51.94,2012-03-01
EUR,1.0,2012-03-01
MXN,17.03,2012-03-01
PEN,3.56,2012-03-01
PYG,5686.94,2012-03-01
USD,1.33,2012-03-01
UYU,25.84,2012-03-01
VEF,5.72,2012-03-01
ARS,5.74,2012-03-02
BRL,2.28,2012-03-02
CLP,639.98,2012-03-02
COP,2345.86,2012-03-02
CRC,677.04,2012-03-02
DOP,51.15,2012-03-02
EUR,1.0,2012-03-02
MXN,16.86,2012-03-02
PEN,3.53,2012-03-02
PYG,5654.96,2012-03-02
USD,1.32,2012-03-02
UYU,25.61,2012-03-02
VEF,5.67,2012-03-02
ARS,5.74,2012-03-03
BRL,2.28,2012-03-03
CLP,640.06,2012-03-03
COP,2346.14,2012-03-03
CRC,677.12,2012-03-03
DOP,51.16,2012-03-03
EUR,1.0,2012-03-03
MXN,16.85,2012-03-03
PEN,3.54,2012-03-03
PYG,5655.66,2012-03-03
USD,1.32,2012-03-03
UYU,25.61,2012-03-03
VEF,5.68,2012-03-03
ARS,5.74,2012-03-04
BRL,2.28,2012-03-04
CLP,640.06,2012-03-04
COP,2346.14,2012-03-04
CRC,677.12,2012-03-04
DOP,51.16,2012-03-04
EUR,1.0,2012-03-04
MXN,16.85,2012-03-04
PEN,3.54,2012-03-04
PYG,5655.66,2012-03-04
USD,1.32,2012-03-04
UYU,25.61,2012-03-04
VEF,5.68,2012-03-04
ARS,5.73,2012-03-05
BRL,2.29,2012-03-05
CLP,641.07,2012-03-05
COP,2345.79,2012-03-05
CRC,677.2,2012-03-05
DOP,51.53,2012-03-05
EUR,1.0,2012-03-05
MXN,16.94,2012-03-05
PEN,3.54,2012-03-05
PYG,5635.74,2012-03-05
USD,1.32,2012-03-05
UYU,25.6,2012-03-05
VEF,5.68,2012-03-05
ARS,5.69,2012-03-06
BRL,2.3,2012-03-06
CLP,642.57,2012-03-06
COP,2333.9,2012-03-06
CRC,672.45,2012-03-06
DOP,51.14,2012-03-06
EUR,1.0,2012-03-06
MXN,16.99,2012-03-06
PEN,3.52,2012-03-06
PYG,5592.44,2012-03-06
USD,1.31,2012-03-06
UYU,25.44,2012-03-06
VEF,5.64,2012-03-06
ARS,5.7,2012-03-07
BRL,2.32,2012-03-07
CLP,646.83,2012-03-07
COP,2335.59,2012-03-07
CRC,674.05,2012-03-07
DOP,50.96,2012-03-07
EUR,1.0,2012-03-07
MXN,17.02,2012-03-07
PEN,3.52,2012-03-07
PYG,5508.89,2012-03-07
USD,1.31,2012-03-07
UYU,25.64,2012-03-07
VEF,5.64,2012-03-07
ARS,5.75,2012-03-08
BRL,2.34,2012-03-08
CLP,643.58,2012-03-08
COP,2337.96,2012-03-08
CRC,675.7,2012-03-08
DOP,51.55,2012-03-08
EUR,1.0,2012-03-08
MXN,16.94,2012-03-08
PEN,3.55,2012-03-08
PYG,5540.55,2012-03-08
USD,1.33,2012-03-08
UYU,25.85,2012-03-08
VEF,5.69,2012-03-08
ARS,5.7,2012-03-09
BRL,2.33,2012-03-09
CLP,634.81,2012-03-09
COP,2313.71,2012-03-09
CRC,669.78,2012-03-09
DOP,51.21,2012-03-09
EUR,1.0,2012-03-09
MXN,16.62,2012-03-09
PEN,3.51,2012-03-09
PYG,5575.57,2012-03-09
USD,1.31,2012-03-09
UYU,25.66,2012-03-09
VEF,5.64,2012-03-09
ARS,5.71,2012-03-10
BRL,2.34,2012-03-10
CLP,636.28,2012-03-10
COP,2319.08,2012-03-10
CRC,671.33,2012-03-10
DOP,51.33,2012-03-10
EUR,1.0,2012-03-10
MXN,16.67,2012-03-10
PEN,3.51,2012-03-10
PYG,5588.51,2012-03-10
USD,1.32,2012-03-10
UYU,25.72,2012-03-10
VEF,5.65,2012-03-10
ARS,5.71,2012-03-11
BRL,2.34,2012-03-11
CLP,636.28,2012-03-11
COP,2319.08,2012-03-11
CRC,671.33,2012-03-11
DOP,51.33,2012-03-11
EUR,1.0,2012-03-11
MXN,16.67,2012-03-11
PEN,3.51,2012-03-11
PYG,5588.51,2012-03-11
USD,1.32,2012-03-11
UYU,25.72,2012-03-11
VEF,5.65,2012-03-11
ARS,5.71,2012-03-12
BRL,2.38,2012-03-12
CLP,636.68,2012-03-12
COP,2321.1,2012-03-12
CRC,670.26,2012-03-12
DOP,51.28,2012-03-12
EUR,1.0,2012-03-12
